Customer ID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Satisfaction_Score,Referral_Source,Loyalty_Tier,Customer_Lifetime_Value,Engagement Count,Churn_B,Partner_B,Dependents_B,PhoneService_B,PaperlessBilling_B,Tenure_Bucket,Internet Service_B,Online Security_B,DeviceProtection_B,TechSupport_B,StreamingTV_B,StreamingMovies_B,Payment_Method_E,Internet Service_E
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,2,Online,Gold,5296.38,5,0,0,0,1,1,60-69,1,1,1,1,1,0,CC,D
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,2,Advertisement,Silver,1050.66,4,0,1,0,1,1,10-19,1,1,0,1,1,0,EC,D
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,Online,Gold,4414.88,2,0,0,0,1,1,40-49,1,0,0,0,0,1,EC,FO
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,2,Friend,Bronze,105.25,1,0,0,0,1,0,0-9,1,0,0,0,0,0,MC,D
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,5,Friend,Bronze,137.11,2,1,0,0,1,1,0-9,1,0,0,0,1,0,EC,FO
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,2,Friend,Gold,4711.72,5,0,0,0,1,1,50-59,1,1,0,1,1,1,CC,D
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,4,Friend,Gold,4843.59,4,0,1,1,1,1,60-69,1,1,1,1,0,0,CC,D
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,4,Friend,Gold,4351.08,2,0,0,0,1,1,40-49,1,0,0,0,1,0,EC,FO
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,4,Advertisement,Silver,1270.50,4,1,0,0,1,1,10-19,1,1,0,0,1,1,CC,FO
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,4,Advertisement,Silver,1963.65,4,0,1,0,1,1,20-29,1,1,0,1,1,0,CC,D
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,5,Retail,Bronze,705.16,1,1,1,0,1,1,0-9,1,0,0,0,0,0,CC,FO
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,3,Friend,Gold,4945.34,5,0,1,1,1,1,60-69,1,1,1,1,0,1,CC,D
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,Online,Silver,1508.47,3,1,0,0,1,1,10-19,1,0,0,0,1,1,EC,FO
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,4,Friend,Gold,6727.66,4,0,1,1,1,1,60-69,1,1,0,0,1,1,CC,FO
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,2,Advertisement,Gold,8145.28,5,0,1,1,1,1,60-69,1,0,1,1,1,1,EC,FO
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,4,Friend,Silver,893.74,0,0,1,1,1,0,30-39,0,0,0,0,0,0,CC,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,2,Advertisement,Gold,7903.84,5,0,0,0,1,1,70-79,1,0,1,1,1,1,CC,FO
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,2,Retail,Gold,5354.98,4,0,1,0,1,1,40-49,1,0,1,0,1,1,EC,FO
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,4,Retail,Gold,5301.66,2,0,0,0,1,1,60-69,1,0,0,0,1,0,BT,FO
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,5,Retail,Gold,3121.49,3,0,1,0,0,0,70-79,1,1,1,0,0,0,BT,D
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,2,Advertisement,Silver,972.25,3,0,1,1,1,1,10-19,1,0,1,1,0,0,CC,D
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,2,Friend,Bronze,959.92,3,1,0,0,1,0,10-19,1,0,0,0,1,1,EC,FO
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,4,Friend,Bronze,197.17,4,0,0,0,1,1,0-9,1,0,0,1,1,1,EC,D
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,2,Online,Gold,3709.55,1,0,1,0,1,1,40-49,1,0,0,0,0,0,EC,FO
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,2,Advertisement,Silver,2592.90,5,0,0,0,1,0,30-39,1,0,1,1,1,1,MC,D
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,4,Online,Gold,1095.73,0,0,1,1,1,0,50-59,0,0,0,0,0,0,BT,No
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,4,Retail,Bronze,818.39,3,0,0,0,1,1,10-19,1,1,1,0,0,0,MC,FO
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,1,Friend,Bronze,55.07,2,0,0,0,1,0,0-9,1,0,0,1,0,0,MC,D
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,5,Advertisement,Gold,1201.46,0,0,1,1,1,1,50-59,0,0,0,0,0,0,EC,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,5,Online,Gold,6208.86,6,0,1,1,1,1,60-69,1,1,1,1,1,1,BT,FO
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,2,Online,Gold,1459.46,0,0,1,1,1,1,60-69,0,0,0,0,0,0,BT,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,5,Online,Bronze,165.84,4,0,0,1,1,1,0-9,1,1,0,1,0,1,BT,D
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,2,Friend,Gold,5871.33,5,0,0,0,1,0,50-59,1,1,1,0,1,1,EC,FO
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,1,Friend,Gold,2588.21,2,0,0,0,1,0,40-49,1,0,0,0,0,1,CC,D
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,4,Friend,Bronze,491.08,2,0,1,1,1,0,0-9,1,1,0,0,0,0,MC,D
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,4,Advertisement,Silver,2475.64,4,0,0,0,1,1,30-39,1,1,0,0,1,1,EC,D
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,4,Friend,Gold,1035.26,0,0,1,1,1,1,40-49,0,0,0,0,0,0,CC,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,5,Advertisement,Bronze,69.66,2,1,0,1,1,1,0-9,1,0,0,0,1,0,EC,FO
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,1,Online,Bronze,570.94,4,0,1,1,0,0,10-19,1,1,0,0,1,1,EC,D
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,5,Online,Bronze,531.12,2,1,1,0,1,1,0-9,1,0,1,0,0,0,BT,FO
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,5,Retail,Gold,4054.05,5,0,0,0,1,1,40-49,1,0,1,1,1,1,BT,FO
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,1,Friend,Gold,1105.67,0,0,1,0,1,1,40-49,0,0,0,0,0,0,BT,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,1,Online,Bronze,1008.28,3,0,0,0,1,1,10-19,1,0,0,0,1,1,CC,FO
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,1,Friend,Silver,2111.70,3,0,1,0,1,1,30-39,1,1,0,0,1,0,BT,D
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,1,Advertisement,Gold,1107.26,0,0,1,1,1,0,40-49,0,0,0,0,0,0,BT,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,4,Online,Gold,885.75,0,0,1,1,1,1,40-49,0,0,0,0,0,0,MC,No
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,3,Friend,Silver,1048.29,2,0,1,0,0,0,20-29,1,0,0,0,1,0,MC,D
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,3,Online,Silver,2443.73,2,0,1,1,1,0,30-39,1,0,1,0,0,0,BT,FO
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,1,Online,Bronze,66.24,2,0,0,0,1,0,0-9,1,0,0,1,0,0,EC,FO
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,5714.25,No,3,Friend,Gold,6255.74,6,0,1,1,1,1,60-69,1,1,1,1,1,1,MC,D
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,3,Online,Gold,7118.85,5,0,0,0,1,1,60-69,1,1,1,0,1,1,CC,FO
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,1,Online,Gold,7775.85,4,0,0,0,1,1,70-79,1,0,1,0,1,1,BT,FO
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,3,Online,Bronze,909.65,2,1,0,0,1,1,10-19,1,1,0,0,0,0,EC,FO
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,5,Online,Gold,4061.28,3,0,1,1,1,1,70-79,1,1,0,1,0,0,CC,D
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,2,Advertisement,Bronze,92.64,0,1,0,0,1,0,0-9,0,0,0,0,0,0,MC,No
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,1107.2,No,2,Online,Gold,1090.76,0,0,0,0,1,0,50-59,0,0,0,0,0,0,BT,No
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,Retail,Silver,2602.84,4,1,1,0,1,1,20-29,1,0,1,0,1,1,EC,FO
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,4,Online,Bronze,19.20,0,0,0,0,1,0,0-9,0,0,0,0,0,0,MC,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,1,Friend,Bronze,20.59,0,0,1,1,1,0,0-9,0,0,0,0,0,0,EC,No
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95,3605.6,No,4,Retail,Gold,3825.12,4,0,0,0,1,0,30-39,1,0,1,1,1,0,BT,FO
